,id,title,href,price_50_average
157,IPFPX,Poplar Forest Partners Fund Institutional Class,/quote/IPFPX?p=IPFPX,30.78
158,CCASX,Conestoga Small Cap Fund Investors Class,/quote/CCASX?p=CCASX,48.90
159,PAMCX,T. Rowe Price Mid-Cap Growth Fund Advisor Class,/quote/PAMCX?p=PAMCX,73.51
160,SSETX,BNY Mellon Growth Fund Class I,/quote/SSETX?p=SSETX,28.24
161,RPMGX,T. Rowe Price Mid-Cap Growth Fund,/quote/RPMGX?p=RPMGX,76.18
162,RRMGX,T. Rowe Price Mid-Cap Growth Fund R Class,/quote/RRMGX?p=RRMGX,70.86
163,TQAAX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund Advisor Class,/quote/TQAAX?p=TQAAX,30.82
164,HQISX,The Hartford Equity Income Fund Class R4,/quote/HQISX?p=HQISX,15.80
165,MFCAX,Meridian Contrarian Fund A Class,/quote/MFCAX?p=MFCAX,25.08
166,TQAIX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund I Class,/quote/TQAIX?p=TQAIX,31.12
167,FMCRX,Federated Mid-Cap Index Fund Institutional Shares,/quote/FMCRX?p=FMCRX,14.55
168,SLVAX,Columbia Select Large Cap Value Fund Class A,/quote/SLVAX?p=SLVAX,19.03
169,FBTIX,Fidelity Advisor Biotechnology Fund I Class,/quote/FBTIX?p=FBTIX,26.66
170,SLVIX,Columbia Select Large Cap Value Fund Institutional 2 Class,/quote/SLVIX?p=SLVIX,19.83
171,CSVZX,Columbia Select Large Cap Value Fund Institutional Class,/quote/CSVZX?p=CSVZX,19.83
172,FMDCX,Federated Mid-Cap Index Fund Service Shares,/quote/FMDCX?p=FMDCX,14.54
173,FMCLX,Federated Mid-Cap Index Fund Class R6 Shares,/quote/FMCLX?p=FMCLX,14.57
174,CSERX,Columbia Select Large Cap Value Fund Advisor Class,/quote/CSERX?p=CSERX,20.11
175,FBTAX,Fidelity Advisor Biotechnology Fund Class A,/quote/FBTAX?p=FBTAX,24.97
176,PFPFX,Poplar Forest Partners Fund Class A,/quote/PFPFX?p=PFPFX,30.77
177,VSNGX,JPMorgan Mid Cap Equity Fund Class I,/quote/VSNGX?p=VSNGX,40.25
178,MVALX,Meridian Contrarian Fund Legacy Class,/quote/MVALX?p=MVALX,25.72
179,PRDSX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,/quote/PRDSX?p=PRDSX,31.01
180,JCMAX,JPMorgan Mid Cap Equity Fund Class A,/quote/JCMAX?p=JCMAX,39.55
181,MFCIX,Meridian Contrarian Fund Investor Class,/quote/MFCIX?p=MFCIX,25.51
182,DMIDX,BNY Mellon MidCap Index Fund Class I,/quote/DMIDX?p=DMIDX,23.74
183,JMCEX,JPMorgan Mid Cap Equity Fund Class R2,/quote/JMCEX?p=JMCEX,39.10
184,AIAFX,Aberdeen Global Infrastructure Fund Class A,/quote/AIAFX?p=AIAFX,17.27
185,PESPX,BNY Mellon MidCap Index Fund Investor Shares,/quote/PESPX?p=PESPX,23.83
186,FBTTX,Fidelity Advisor Biotechnology Fund Class M,/quote/FBTTX?p=FBTTX,23.41
187,MFCCX,Meridian Contrarian Fund Class C,/quote/MFCCX?p=MFCCX,24.57
188,VEIPX,Vanguard Equity-Income Fund Investor Shares,/quote/VEIPX?p=VEIPX,30.11
189,NWHZX,Nationwide Geneva Small Cap Growth Fund Class A,/quote/NWHZX?p=NWHZX,51.53
190,NWKCX,Nationwide Geneva Small Cap Growth Fund Class R6,/quote/NWKCX?p=NWKCX,53.83
191,VEIRX,Vanguard Equity-Income Fund Admiral Shares,/quote/VEIRX?p=VEIRX,63.11
192,FAMWX,FAM Value Fund Institutional Class,/quote/FAMWX?p=FAMWX,64.44
193,FAMVX,FAM Value Fund Investor Class,/quote/FAMVX?p=FAMVX,64.18
194,APHKX,Artisan International Value Fund Institutional Class,/quote/APHKX?p=APHKX,27.84
195,CCSGX,Conestoga SMid Cap Fund Institutional Class,/quote/CCSGX?p=CCSGX,14.74
196,APDKX,Artisan International Value Fund Advisor Class,/quote/APDKX?p=APDKX,27.72
