abbrivate_funds,funds_title,stock_title,stock_href,abbrivate_stock,holding,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,7.91%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Apple Inc,/quote/AAPL?p=AAPL,AAPL,5.48%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Salesforce.com Inc,/quote/CRM?p=CRM,CRM,4.99%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Visa Inc Class A,/quote/V?p=V,V,4.85%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,4.79%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Facebook Inc A,/quote/FB?p=FB,FB,4.53%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Alibaba Group Holding Ltd ADR,/quote/BABA?p=BABA,BABA,4.50%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),Adobe Inc,/quote/ADBE?p=ADBE,ADBE,3.55%,,
ALZFX,Alger Focus Equity Fund Class Z (ALZFX),PayPal Holdings Inc,/quote/PYPL?p=PYPL,PYPL,2.60%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Large Company Value Inv,/quote/ALVIX?p=ALVIX,ALVIX,11.11%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Growth Inv,/quote/TWCGX?p=TWCGX,TWCGX,10.24%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Sustainable Equity Inv,/quote/AFDIX?p=AFDIX,AFDIX,10.24%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century International Gr Inv,/quote/TWIEX?p=TWIEX,TWIEX,9.63%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Heritage Inv,/quote/TWHIX?p=TWHIX,TWHIX,8.59%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Emerging Markets Inv,/quote/TWMIX?p=TWMIX,TWMIX,8.30%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Mid Cap Value Inv,/quote/ACMVX?p=ACMVX,ACMVX,7.84%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Focused Dynamic Gr Inv,/quote/ACFOX?p=ACFOX,ACFOX,6.18%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Non-US IntrsVal Inv,/quote/ANTUX?p=ANTUX,ANTUX,5.86%,,
AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class (AOVIX),American Century Equity Growth Inv,/quote/BEQGX?p=BEQGX,BEQGX,5.14%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Samsung Electronics Co Ltd,/quote/005930.KS?p=005930.KS,005930.KS,6.42%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),ABB Ltd,/quote/ABBN?p=ABBN,ABBN,5.43%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Compass Group PLC,/quote/CPG.L?p=CPG.L,CPG.L,4.73%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Arch Capital Group Ltd,/quote/ACGL?p=ACGL,ACGL,4.64%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),RELX PLC,/quote/REL.L?p=REL.L,REL.L,4.02%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),UBS Group AG,/quote/UBSG?p=UBSG,UBSG,4.02%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Novartis AG,/quote/NOVN?p=NOVN,NOVN,3.84%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),NAVER Corp,/quote/035420.KS?p=035420.KS,035420.KS,3.79%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Fresenius Medical Care AG & Co. KGaA,/quote/FME.DE?p=FME.DE,FME.DE,3.59%,,
APDKX,Artisan International Value Fund Advisor Class (APDKX),Cie Financiere Richemont SA,/quote/CFR?p=CFR,CFR,3.37%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,6.95%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,6.95%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Facebook Inc A,/quote/FB?p=FB,FB,5.23%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),UnitedHealth Group Inc,/quote/UNH?p=UNH,UNH,4.35%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Visa Inc Class A,/quote/V?p=V,V,4.34%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Monster Beverage Corp,/quote/MNST?p=MNST,MNST,3.87%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Zoetis Inc Class A,/quote/ZTS?p=ZTS,ZTS,3.79%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Vertex Pharmaceuticals Inc,/quote/VRTX?p=VRTX,VRTX,3.67%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,3.60%,,
APGAX,AB Large Cap Growth Fund Class A (APGAX),Intuitive Surgical Inc,/quote/ISRG?p=ISRG,ISRG,3.31%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,6.95%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,6.95%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Facebook Inc A,/quote/FB?p=FB,FB,5.23%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),UnitedHealth Group Inc,/quote/UNH?p=UNH,UNH,4.35%,,
